history_id,order_id,event_type,previous_status,new_status,external_status,external_order_id,request_id,failure_code,failure_reason,event_timestamp,created_at,client_id,account_id,instrument_id,order_type,side,quantity,price,executed_price,idempotency_key,order_created_at
17,550e8400-e29b-41d4-a716-446655440009,CREATED,,NEW,,,req-000009,,,2026-01-05 09:32:00,2026-01-05 09:32:00,,,,,,,,,,
18,550e8400-e29b-41d4-a716-446655440009,FILLED,NEW,FILLED,FILLED,EXT-000009,req-000009,,,2026-01-05 09:33:00,2026-01-05 09:33:00,3,3,RELIANCE,HOLDING,BUY,150,2860.0000,2860.0000,ord-1009-rohan-rel-buy,2026-01-05 09:32:00
19,550e8400-e29b-41d4-a716-446655440010,CREATED,,NEW,,,req-000010,,,2026-01-05 09:34:00,2026-01-05 09:34:00,,,,,,,,,,
20,550e8400-e29b-41d4-a716-446655440010,FILLED,NEW,FILLED,FILLED,EXT-000010,req-000010,,,2026-01-05 09:35:00,2026-01-05 09:35:00,3,3,ITC,HOLDING,BUY,500,412.7500,412.7500,ord-1010-rohan-itc-buy,2026-01-05 09:34:00
21,550e8400-e29b-41d4-a716-446655440011,CREATED,,NEW,,,req-000011,,,2026-01-05 09:36:00,2026-01-05 09:36:00,,,,,,,,,,
22,550e8400-e29b-41d4-a716-446655440011,FILLED,NEW,FILLED,FILLED,EXT-000011,req-000011,,,2026-01-05 09:37:00,2026-01-05 09:37:00,3,3,ITC,HOLDING,SELL,200,425.0000,425.0000,ord-1011-rohan-itc-trim,2026-01-05 09:36:00
23,550e8400-e29b-41d4-a716-446655440012,CREATED,,NEW,,,req-000012,,,2026-01-05 09:38:00,2026-01-05 09:38:00,,,,,,,,,,
24,550e8400-e29b-41d4-a716-446655440012,FILLED,NEW,FILLED,FILLED,EXT-000012,req-000012,,,2026-01-05 09:39:00,2026-01-05 09:39:00,3,3,TATAMOTORS,POSITION,BUY,120,918.4000,918.4000,ord-1012-rohan-tata-in,2026-01-05 09:38:00
25,550e8400-e29b-41d4-a716-446655440013,CREATED,,NEW,,,req-000013,,,2026-01-05 09:40:00,2026-01-05 09:40:00,,,,,,,,,,
26,550e8400-e29b-41d4-a716-446655440013,FILLED,NEW,FILLED,FILLED,EXT-000013,req-000013,,,2026-01-05 09:41:00,2026-01-05 09:41:00,3,3,TATAMOTORS,POSITION,BUY,80,930.1500,930.1500,ord-1013-rohan-tata-add,2026-01-05 09:40:00
27,550e8400-e29b-41d4-a716-446655440014,CREATED,,NEW,,,req-000014,,,2026-01-05 09:42:00,2026-01-05 09:42:00,,,,,,,,,,
28,550e8400-e29b-41d4-a716-446655440015,CREATED,,NEW,,,req-000015,,,2026-01-05 09:43:00,2026-01-05 09:43:00,,,,,,,,,,
29,550e8400-e29b-41d4-a716-446655440016,CREATED,,NEW,,,req-000016,,,2026-01-05 09:44:00,2026-01-05 09:44:00,,,,,,,,,,
30,550e8400-e29b-41d4-a716-446655440016,FILLED,NEW,FILLED,FILLED,EXT-000016,req-000016,,,2026-01-05 09:45:00,2026-01-05 09:45:00,4,4,ICICIBANK,HOLDING,BUY,45,1035.5000,1035.5000,ord-1016-meera-icici-buy,2026-01-05 09:44:00
31,550e8400-e29b-41d4-a716-446655440017,CREATED,,NEW,,,req-000017,,,2026-01-05 09:46:00,2026-01-05 09:46:00,,,,,,,,,,
32,550e8400-e29b-41d4-a716-446655440017,REJECTED,NEW,REJECTED,,,req-000017,ACC-403,client account is suspended,2026-01-05 09:47:00,2026-01-05 09:47:00,4,4,ICICIBANK,HOLDING,BUY,30,1050.0000,,ord-1017-meera-icici-add,2026-01-05 09:46:00
33,550e8400-e29b-41d4-a716-446655440018,CREATED,,NEW,,,req-000018,,,2026-01-05 09:48:00,2026-01-05 09:48:00,,,,,,,,,,
34,550e8400-e29b-41d4-a716-446655440018,FILLED,NEW,FILLED,FILLED,EXT-000018,req-000018,,,2026-01-05 09:49:00,2026-01-05 09:49:00,5,5,HDFCBANK,POSITION,BUY,50,1705.0000,1705.0000,ord-1018-vikram-hdfc-in,2026-01-05 09:48:00
35,550e8400-e29b-41d4-a716-446655440019,CREATED,,NEW,,,req-000019,,,2026-01-05 09:50:00,2026-01-05 09:50:00,,,,,,,,,,
36,550e8400-e29b-41d4-a716-446655440019,FILLED,NEW,FILLED,FILLED,EXT-000019,req-000019,,,2026-01-05 09:51:00,2026-01-05 09:51:00,5,5,HDFCBANK,POSITION,SELL,50,1712.6000,1712.6000,ord-1019-vikram-hdfc-out,2026-01-05 09:50:00
37,550e8400-e29b-41d4-a716-446655440020,CREATED,,NEW,,,req-000020,,,2026-01-05 09:52:00,2026-01-05 09:52:00,,,,,,,,,,
38,550e8400-e29b-41d4-a716-446655440020,FILLED,NEW,FILLED,FILLED,EXT-000020,req-000020,,,2026-01-05 09:53:00,2026-01-05 09:53:00,5,5,LEGACYCORP,HOLDING,BUY,300,212.3000,212.3000,ord-1020-vikram-legacy,2026-01-05 09:52:00
39,550e8400-e29b-41d4-a716-446655440021,CREATED,,NEW,,,req-000021,,,2026-01-05 09:54:00,2026-01-05 09:54:00,,,,,,,,,,
40,550e8400-e29b-41d4-a716-446655440021,CANCELLED,NEW,CANCELLED,,,req-000021,,,2026-01-05 09:55:00,2026-01-05 09:55:00,5,5,LEGACYCORP,HOLDING,SELL,300,205.0000,,ord-1021-vikram-legacy-x,2026-01-05 09:54:00
41,550e8400-e29b-41d4-a716-446655440022,CREATED,,NEW,,,req-000022,,,2026-01-05 09:56:00,2026-01-05 09:56:00,,,,,,,,,,
42,550e8400-e29b-41d4-a716-446655440022,FILLED,NEW,FILLED,FILLED,EXT-000022,req-000022,,,2026-01-05 09:57:00,2026-01-05 09:57:00,6,6,RELIANCE,HOLDING,BUY,10,2799.0000,2799.0000,ord-1022-sanya-rel-buy,2026-01-05 09:56:00
43,550e8400-e29b-41d4-a716-446655440023,CREATED,,NEW,,,req-000023,,,2026-01-05 09:58:00,2026-01-05 09:58:00,,,,,,,,,,
44,550e8400-e29b-41d4-a716-446655440023,FILLED,NEW,FILLED,FILLED,EXT-000023,req-000023,,,2026-01-05 09:59:00,2026-01-05 09:59:00,6,6,RELIANCE,HOLDING,SELL,10,2830.5000,2830.5000,ord-1023-sanya-rel-exit,2026-01-05 09:58:00
